Bokaro|Bermo|Armo|Bermo|689 hectares
Bokaro|Bermo|Garnke|Armo|825312
Bokaro|Bermo|Lukubad|Armo|825312
Bokaro|Chandankiyari|Adarkunri|Adrakudi|827013
Bokaro|Chandankiyari|Agardi|Kalikapur|827013
Bokaro|Chandankiyari|Aluara|Batbinor|N/A
Bokaro|Chandankiyari|Amainagar|Amainagar|N/A
Bokaro|Chandankiyari|Amdiha|Amainagar|N/A
Bokaro|Chandankiyari|Arita|Adita|828134
Bokaro|Chandankiyari|Asanbani|Sabra|N/A
Bokaro|Chandankiyari|Asanshol|Devgram|N/A
Bokaro|Chandankiyari|Babuigor|Bagula|N/A
Bokaro|Chandankiyari|Bangaria|Badajor|N/A
Bokaro|Chandankiyari|Banshara|Shiv Babudih|N/A
Bokaro|Chandankiyari|Banshgari|Bagula|N/A
Bokaro|Chandankiyari|Banshtora|Bastora|828134
Bokaro|Chandankiyari|Barajor|Badajor|N/A
Bokaro|Chandankiyari|Baramesya|Boriyadih|828134
Bokaro|Chandankiyari|Barda|Gamhariya|828134
Bokaro|Chandankiyari|Barishabad|Lalpur|N/A
Bokaro|Chandankiyari|Barkama|Saharjori|828134
Bokaro|Chandankiyari|Batbinor|Batbinor|828134
Bokaro|Chandankiyari|Batboa|Fusro|N/A
Bokaro|Chandankiyari|Bharajuri|Boriyadih|828134
Bokaro|Chandankiyari|Bhuski|Madra|N/A
Bokaro|Chandankiyari|Bindabanpur|Kumirdoba|N/A
Bokaro|Chandankiyari|Birajdi|Silfor|N/A
Bokaro|Chandankiyari|Birkham|Chandankiyari East|N/A
Bokaro|Chandankiyari|Bodma|Bastora|N/A
Bokaro|Chandankiyari|Bogla|Bagula|N/A
Bokaro|Chandankiyari|Boryadi|Boriyadih|828134
Bokaro|Chandankiyari|Chakparbad|Shiv Babudih|N/A
Bokaro|Chandankiyari|Chakpendra|Lalpur|N/A
Bokaro|Chandankiyari|Chandankiari|Chandankiyari West|828134
Bokaro|Chandankiyari|Chandipur|Kusumkiyari|828134
Bokaro|Chandankiyari|Chandra|Chandra|828134
Bokaro|Chandankiyari|Chhatatanr|Bhojudih West|828303
Bokaro|Chandankiyari|Chirda|Gamhariya|828134
Bokaro|Chandankiyari|Damodarpur|Bhojudih East|N/A
Bokaro|Chandankiyari|Damudi|Damudih|828134
Bokaro|Chandankiyari|Darida|Lalpur|N/A
Bokaro|Chandankiyari|Debgram|Devgram|N/A
Bokaro|Chandankiyari|Dhekbera|Shiv Babudih|N/A
Bokaro|Chandankiyari|Diborda|Nayawon|N/A
Bokaro|Chandankiyari|Fatepur|Silfor|N/A
Bokaro|Chandankiyari|Galgaltanr|Bagula|828134
Bokaro|Chandankiyari|Gamarya|Gamhariya|828134
Bokaro|Chandankiyari|Gangudi|Kusumkiyari|N/A
Bokaro|Chandankiyari|Ghaghri|Lanka|828134
Bokaro|Chandankiyari|Ghoragara|Kherabera|828134
Bokaro|Chandankiyari|Gopinathpur Alias Gosaindi|Damudih|N/A
Bokaro|Chandankiyari|Gorigram|Bhojudih West|N/A
Bokaro|Chandankiyari|Gundlibhitha|Bhojudih West|828303
Bokaro|Chandankiyari|Gurri|Simuliya|828134
Bokaro|Chandankiyari|Jagidi|Devgram|828134
Bokaro|Chandankiyari|Jashpur|Kherabera|828134
